station_slug,station_name,year,date,PM2.5,PM10,CO,SO2,O3,NO2
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,01/01/2024,9,14,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,02/01/2024,12,13,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,03/01/2024,15,20,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,04/01/2024,13,18,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,05/01/2024,26,37,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,06/01/2024,30,42,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,07/01/2024,18,25,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,08/01/2024,12,17,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,09/01/2024,11,15,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,10/01/2024,11,16,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,11/01/2024,12,17,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,12/01/2024,11,16,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,13/01/2024,19,28,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,14/01/2024,20,32,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,15/01/2024,13,19,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,16/01/2024,12,19,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,17/01/2024,12,19,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,2024,18/01/2024,10,14,,,,
