station_slug,station_name,year,date,PM2.5,PM10,CO,SO2,O3,NO2
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,01/01/2022,22,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,02/01/2022,25,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,03/01/2022,31,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,04/01/2022,48,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,05/01/2022,31,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,06/01/2022,46,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,07/01/2022,40,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,08/01/2022,39,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,09/01/2022,22,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,10/01/2022,27,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,11/01/2022,26,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,12/01/2022,28,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,13/01/2022,40,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,14/01/2022,36,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,15/01/2022,41,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,16/01/2022,29,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,17/01/2022,35,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,18/01/2022,31,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,19/01/2022,45,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,20/01/2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,21/01/2022,26,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,22/01/2022,25,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,23/01/2022,13,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,24/01/2022,31,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,25/01/2022,25,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,26/01/2022,32,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,27/01/2022,43,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,28/01/2022,36,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,29/01/2022,32,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,30/01/2022,20,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,31/01/2022,16,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,01/02/2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,02/02/2022,10,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,03/02/2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,04/02/2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,05/02/2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,06/02/2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,07/02/2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,08/02/2022,30,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,09/02/2022,22,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,10/02/2022,21,,,,,
