station_name,station_address,city,state,country,locationId,slug,sensor,used_sensorname,minValue,maxValue,avgValue,points
Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-131683,vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,CO,co,275,641,410,30
Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-131683,vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,SO2,so2,6,30,17,30
Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-131683,vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,NO2,no2,5,32,18,30
Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-131683,vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,O3,o3,29,45,40,30
Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-131683,vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,PM2.5,pm25,11,57,23,30
Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-131683,vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,PM10,pm10,26,77,49,30
Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-131683,vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,AQI,aqi,49,135,73,30
Tp Ho Chi Minh Duong Nguyen Van Tao,"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13756,vietnam/ho-chi-minh/ho-chi-minh-city/tp-ho-chi-minh-duong-nguyen-van-tao,CO,co,269,640,402,30
Tp Ho Chi Minh Duong Nguyen Van Tao,"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13756,vietnam/ho-chi-minh/ho-chi-minh-city/tp-ho-chi-minh-duong-nguyen-van-tao,SO2,so2,7,30,16,30
Tp Ho Chi Minh Duong Nguyen Van Tao,"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13756,vietnam/ho-chi-minh/ho-chi-minh-city/tp-ho-chi-minh-duong-nguyen-van-tao,NO2,no2,5,30,17,30
